N_PV,N_WT,N_H2,N_FC,N_EL,N_DG,Cost,Emissions,viol_reliability,viol_min_re,feasible
1000,17,0,0,0,2,240996.861645829,270269.8143397175,0.0,0.0,True
1000,50,200,80,122,1,473715.40727473237,38171.793680069866,0.0,0.0,True
1000,50,200,80,122,1,473715.40727473237,38171.793680069866,0.0,0.0,True
1000,17,0,0,0,2,240996.861645829,270269.8143397175,0.0,0.0,True
1000,38,42,14,34,1,324063.9190199127,86122.57024814101,0.0,0.0,True
1000,40,1,3,0,2,323822.07512389345,162683.93567568547,0.0,0.0,True
1000,50,42,16,40,1,379301.09837432695,66591.10422537598,0.0,0.0,True
1000,21,0,0,0,2,253381.35254325668,242979.16750800522,0.0,0.0,True
1000,27,0,0,0,2,273552.23156160617,210158.81802207758,0.0,0.0,True
1000,50,200,72,41,1,446432.5135336431,41668.79390532631,0.0,0.0,True
1000,23,0,0,0,2,259894.7270465049,231076.3571231491,0.0,0.0,True
1000,28,41,16,41,2,306686.49790963234,175272.5820038882,0.0,0.0,True
1000,50,10,12,29,1,363733.12497846864,74467.55112632594,0.0,0.0,True
1000,40,62,14,42,1,341268.6904356781,80499.15663030976,0.0,0.0,True
1000,50,60,80,122,1,432566.9761704122,52641.19962743118,0.0,0.0,True
1000,50,64,95,41,1,415169.45351630036,55309.64683505992,0.0,0.0,True
1000,29,0,12,1,2,285596.77695149014,201122.18000262624,0.0,0.0,True
1000,29,0,12,1,2,285596.77695149014,201122.18000262624,0.0,0.0,True
1000,50,64,95,41,1,415169.45351630036,55309.64683505992,0.0,0.0,True
1000,29,37,16,46,2,310603.3715321963,170462.9970646751,0.0,0.0,True
